Name,Position,College,RAS
Reggie Bell,QB,Ferris State,7.4
Dorian Thompson-Robinson,QB,UCLA,7.72
Liam Nadler,QB,Gannon,7.54
Cade McNown,QB,UCLA,9.23
Jack Coan,QB,Notre Dame,7.69
Terrence Jones,QB,Tulane,9.75
Eric Dungey,QB,Syracuse,7.58
Bryan Randall,QB,Virginia Tech,8.26
Perry Klein,QB,Long Island-Post,9.76
Kliff Kingsbury,QB,Texas Tech,8.47
Zac Robinson,QB,Oklahoma State,7.86
Haaziq Daniels,QB,Air Force,7.61
Nick Fitzgerald,QB,Mississippi State,7.57
Shazzon Mumphrey,QB,New Haven,7.17
Garrett Anderson,QB,Connecticut,7.22
Akevious Williams,QB,Bethune-Cookman,7.55
Drew Allen,QB,Syracuse,7.65
Josh Johnson,QB,San Diego,7.72
Blake Bortles,QB,Central Florida,7.67
Kevin Mason,QB,Syracuse,9.33
Anthony Brown,QB,Oregon,7.49
Jacob Park,QB,Missouri Southern,7.48
Jason Boltus,QB,Hartwick,8.07
Connor Shaw,QB,South Carolina,7.22
Austin Apodaca,QB,New Mexico,7.01
Jerrod Johnson,QB,Texas A&M,7.83
G.J. Kinne,QB,Tulsa,7.41
Noah Johnson,QB,South Florida,7.27
Doug Nussmeier,QB,Idaho,9.67
Ian Book,QB,Notre Dame,7.36
Joe Hubener,QB,Kansas State,7.08
Rich Gannon,QB,Delaware,9.23
Jeff Van Camp,QB,Florida Atlantic,7.71
Jeff Rowe,QB,Nevada,7.85
Stephen McGee,QB,Texas A&M,7.85
Greg Zolman,QB,Vanderbilt,8.4
Myles Gibbon,QB,York,7.27
Jared Bernhardt,QB,Ferris State,7.31
Tim Demorat,QB,Fordham,7.31
Chris Oladokun,QB,South Dakota State,7.34
Rhett Bomar,QB,Sam Houston State,7.82
Pat White,QB,West Virginia,7.4
Will Grier,QB,West Virginia,7.19
Jason Shelley,QB,Missouri State,7.26
Don Majkowski,QB,Virginia,8.46
Teddy Bridgewater,QB,Louisville,7.16
David Garrard,QB,East Carolina,8.28
Chris Streveler,QB,South Dakota,7.08
Dustin Crum,QB,Kent State,7.17
Mac Jones,QB,Alabama,7.15
Dimitrios Sinodinos,QB,McGill,7.22
Bradlee Van Pelt,QB,Colorado State,8.02
Tarvaris Jackson,QB,Alabama State,7.55
Zac Thomas,QB,Appalachian State,7.11
Max Duggan,QB,Texas Christian,7.14
Arion Worthman,QB,Air Force,7.16
Blake Sims,QB,Alabama,7.04
Nolan Henderson,QB,Delaware,7.11
Bradley Smith,QB,Adams State,7.1
Todd Centeio,QB,James Madison,7.09
Skylar Thompson,QB,Kansas State,7.12
Matt Flynn,QB,Louisiana State,7.51
Matt Davis,QB,Southern Methodist,6.82
Colby Cameron,QB,Louisiana Tech,7.18
Scott Covington,QB,Miami,8.72
Cody Pickett,QB,Washington,8.21
Chris Miller,QB,Oregon,7.69
Nathan Peterman,QB,Pittsburgh,6.88
Collin Klein,QB,Kansas State,7.2
Tony Lowery,QB,Wisconsin,8.83
Shane Fortney,QB,Northern Iowa,9.13
Tim Hiller,QB,Western Michigan,7.12
Chase Garbers,QB,California,6.98
Mark Brunell,QB,Washington,8.73
Trent Edwards,QB,Stanford,7.2
Michael OConner,QB,British Columbia,6.96
Tre Ford,QB,Waterloo,6.9
Giovanni Rescigno,QB,Rutgers,6.93
Matt Simms,QB,Tennessee,6.78
Jordan Lynch,QB,Northern Illinois,7
Brian Brohm,QB,Louisville,7.46
Sam Ehlinger,QB,Texas,6.79
Skyler Howard,QB,West Virginia,6.66
Connor Jessop,QB,Shepherd,6.81
Phillip Walker,QB,Temple,6.62
Stefan LeFors,QB,Louisville,7.59
Marquise Williams,QB,North Carolina,6.53
Josh Rosen,QB,UCLA,6.88
Neil O'Donnell,QB,Maryland,9.82
JaJuan Lawson,QB,Rhode Island,6.75
Anthony Wright,QB,South Carolina,8.21
Austin Aune,QB,North Texas,6.74
Brandon Doman,QB,Brigham Young,7.98
Cole Sears,QB,Arkansas Monticello,6.54
Trent Green,QB,Indiana,9.09
John Dutton,QB,UNLV,9.36
Jordan Taamu,QB,Mississippi,6.68
Shea Patterson,QB,Michigan,6.66
Marcus McMaryion,QB,Fresno State,6.71
Josh Freeman,QB,Kansas State,6.84
Ian Kolste,QB,Whitworth,6.52
Jacob Dolegala,QB,Central Connecticut,6.69
D Bryant,QB,Duke,7.71
Jonathan Crompton,QB,Tennessee,6.94
Dru Brown,QB,Oklahoma State,6.52
Craig Krenzel,QB,Ohio State,7.98
Don King,QB,Slippery Rock,6.28
Davis Mills,QB,Stanford,6.58
